,Survey,Year,Quarter,YearQuarter,DateTime,ShootLat,ShootLong,LngtClass_cm,CPUE_number_per_hour,Biomass_kg,Maturity
0,NS-IBTS,1977,1,1,10-02-1977 07:10:00 AM,57.75,5.5833,0.0,0.0,0.0,0
1,NS-IBTS,1977,1,1,14-02-1977 12:13:00 PM,54.9167,7.8333,0.0,0.0,0.0,0
2,NS-IBTS,1977,1,1,14-02-1977 02:25:00 PM,54.75,7.5833,0.0,0.0,0.0,0
3,NS-IBTS,1977,1,1,14-02-1977 04:43:00 PM,54.6667,7.75,0.0,0.0,0.0,0
4,NS-IBTS,1977,1,1,15-02-1977 07:33:00 AM,54.4167,7.8333,0.0,0.0,0.0,0
5,NS-IBTS,1977,1,1,15-02-1977 09:57:00 AM,54.3333,7.4667,0.0,0.0,0.0,0
6,NS-IBTS,1977,1,1,15-02-1977 12:05:00 PM,54.3,7.15,0.0,0.0,0.0,0
7,NS-IBTS,1977,1,1,15-02-1977 01:57:00 PM,54.3167,6.8667,0.0,0.0,0.0,0
12,NS-IBTS,1977,1,1,15-02-1977 04:30:00 PM,54.55,6.5333,19.0,10.0,0.4389202317314727,1
11,NS-IBTS,1977,1,1,15-02-1977 04:30:00 PM,54.55,6.5333,15.0,15.0,0.3569286368441816,0
10,NS-IBTS,1977,1,1,15-02-1977 04:30:00 PM,54.55,6.5333,14.0,5.0,0.09950740257971888,0
9,NS-IBTS,1977,1,1,15-02-1977 04:30:00 PM,54.55,6.5333,13.0,5.0,0.0821290993306504,0
8,NS-IBTS,1977,1,1,15-02-1977 04:30:00 PM,54.55,6.5333,11.0,5.0,0.05328326540724022,0
13,NS-IBTS,1977,1,1,16-02-1977 07:20:00 AM,55.1667,3.6667,0.0,0.0,0.0,0
14,NS-IBTS,1977,1,1,16-02-1977 12:20:00 PM,55.1,2.8333,0.0,0.0,0.0,0
15,NS-IBTS,1977,1,1,16-02-1977 01:28:00 PM,55.25,2.5333,0.0,0.0,0.0,0
16,NS-IBTS,1977,1,1,16-02-1977 03:17:00 PM,55.3333,2.1667,0.0,0.0,0.0,0
17,NS-IBTS,1977,1,1,17-02-1977 07:20:00 AM,55.2667,1.4333,14.0,2.0,0.03980296103188755,0
18,NS-IBTS,1977,1,1,17-02-1977 01:15:00 PM,55.3,0.5,0.0,0.0,0.0,0
19,NS-IBTS,1977,1,1,17-02-1977 04:05:00 PM,55.6,0.4,0.0,0.0,0.0,0
20,NS-IBTS,1977,1,1,18-02-1977 06:55:00 AM,55.65,1.6,0.0,0.0,0.0,0
21,NS-IBTS,1977,1,1,18-02-1977 11:47:00 AM,55.7,2.5667,0.0,0.0,0.0,0
22,NS-IBTS,1977,1,1,18-02-1977 03:47:00 PM,55.6333,3.35,0.0,0.0,0.0,0
23,NS-IBTS,1977,1,1,20-02-1977 06:35:00 AM,57.1833,7.2667,9.0,2.0,0.01267453013922385,0
24,NS-IBTS,1977,1,1,20-02-1977 06:35:00 AM,57.1833,7.2667,10.0,2.0,0.016651132205755204,0
25,NS-IBTS,1977,1,1,20-02-1977 06:35:00 AM,57.1833,7.2667,15.0,2.0,0.04759048491255755,0
26,NS-IBTS,1977,1,1,20-02-1977 09:25:00 AM,57.1333,6.4333,0.0,0.0,0.0,0
27,NS-IBTS,1977,1,1,20-02-1977 12:55:00 PM,57.25,5.7333,0.0,0.0,0.0,0
28,NS-IBTS,1977,1,1,20-02-1977 04:49:00 PM,57.3333,4.8667,0.0,0.0,0.0,0
29,NS-IBTS,1977,1,1,21-02-1977 05:30:00 AM,57.8667,4.55,0.0,0.0,0.0,0
30,NS-IBTS,1977,1,1,21-02-1977 08:23:00 AM,58.1333,4.2667,0.0,0.0,0.0,0
31,NS-IBTS,1977,1,1,21-02-1977 12:20:00 PM,58.3667,3.5833,0.0,0.0,0.0,0
32,NS-IBTS,1977,1,1,21-02-1977 02:35:00 PM,58.5833,3.45,0.0,0.0,0.0,0
33,NS-IBTS,1977,1,1,21-02-1977 05:35:00 PM,58.6667,2.8333,0.0,0.0,0.0,0
34,NS-IBTS,1977,1,1,22-02-1977 05:20:00 AM,58.3333,2.3167,0.0,0.0,0.0,0
35,NS-IBTS,1977,1,1,22-02-1977 08:10:00 AM,58.3333,1.6,0.0,0.0,0.0,0
36,NS-IBTS,1977,1,1,22-02-1977 11:25:00 AM,58.45,0.8167,0.0,0.0,0.0,0
37,NS-IBTS,1977,1,1,22-02-1977 01:32:00 PM,58.6167,0.7667,0.0,0.0,0.0,0
38,NS-IBTS,1977,1,1,22-02-1977 04:25:00 PM,58.7833,1.2167,0.0,0.0,0.0,0
39,NS-IBTS,1977,1,1,26-02-1977 05:25:00 AM,59.6167,-0.3333,0.0,0.0,0.0,0
